#req err ttot tavg oktot okavg bavg btot src
1 0 2 2 2 2 285 285 /index.cfm
1 0 2 2 2 2 285 285 /index.aspx
1 0 1 1 1 1 285 285 /index.asp
1 0 1 1 1 1 285 285 /home.shtml
1 0 2 2 2 2 285 285 /home.pl
1 0 2 2 2 2 285 285 /home.php
1 0 1 1 1 1 285 285 /home.jsp
1 0 1 1 1 1 285 285 /home.jsa
1 0 1 1 1 1 285 285 /home.jhtml
1 0 1 1 1 1 285 285 /home.html
1 0 1 1 1 1 285 285 /home.cgi
1 0 1 1 1 1 285 285 /home.cfm
1 0 1 1 1 1 285 285 /home.aspx
1 0 2 2 2 2 285 285 /home.asp
4 0 6 1 6 1 292 1168 /favicon.ico
1 0 2 2 2 2 285 285 /druid/index.html
1 0 2 2 2 2 285 285 /download/file.ext
1 0 4 4 4 4 285 285 /docs/cplugError.html/
1 0 2 2 2 2 285 285 /dns-query
1 0 1 1 1 1 285 285 /default.shtml
1 0 2 2 2 2 285 285 /default.pl
1 0 1 1 1 1 285 285 /default.php
1 0 1 1 1 1 285 285 /default.jsp
1 0 1 1 1 1 285 285 /default.jsa
1 0 1 1 1 1 285 285 /default.jhtml
1 0 1 1 1 1 285 285 /default.html
1 0 1 1 1 1 285 285 /default.cgi
1 0 2 2 2 2 285 285 /default.cfm
1 0 1 1 1 1 285 285 /default.aspx
1 0 1 1 1 1 285 285 /default.asp
1 0 1 1 1 1 276 276 /dbadmin/index.php
1 0 2 2 2 2 276 276 /db/websql/index.php
1 0 2 2 2 2 276 276 /db/webadmin/index.php
2 0 3 1 3 1 276 552 /db/phpmyadmin5/index.php
1 0 1 1 1 1 276 276 /db/phpmyadmin4/index.php
1 0 2 2 2 2 276 276 /db/phpmyadmin3/index.php
1 0 1 1 1 1 276 276 /db/phpmyadmin/index.php
1 0 2 2 2 2 276 276 /db/phpMyAdmin3/index.php
1 0 1 1 1 1 276 276 /db/phpMyAdmin/index.php
1 0 2 2 2 2 276 276 /db/phpMyAdmin-5/index.php
1 0 1 1 1 1 276 276 /db/phpMyAdmin-4/index.php
2 0 3 1 3 1 276 552 /db/phpMyAdmin-3/index.php
1 0 2 2 2 2 276 276 /db/myadmin/index.php
1 0 1 1 1 1 276 276 /db/index.php
1 0 1 1 1 1 276 276 /db/dbweb/index.php
1 0 1 1 1 1 276 276 /db/dbadmin/index.php
1 0 1 1 1 1 276 276 /db/db-admin/index.php
1 0 1 1 1 1 276 276 /database/index.php
1 0 2 2 2 2 285 285 /cgi-bin/luci
4 0 12 3 12 3 292 1168 /boaform/admin/formLogin
1 0 1 1 1 1 285 285 /base.shtml
1 0 2 2 2 2 285 285 /base.pl
